Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied
217,13,30,91,82,8.9
218,14,80,55,72,3.5
219,14,74,95,79,2.7
220,16,33,69,58,8.9
221,18,91,46,86,6.9
222,17,94,30,68,3.8
223,13,61,90,85,7.7
224,13,63,72,72,8.3
225,15,68,71,79,6.5
226,18,55,54,52,7.2
227,14,63,68,73,4.4
228,17,83,64,67,5.8
229,16,32,32,52,5.7
230,14,79,73,74,8.6
231,18,41,80,81,8.6
232,16,94,41,79,8.5
233,15,83,48,37,1.1
234,15,34,73,30,7.7
235,13,86,88,37,7.8
236,18,46,78,58,7.1
237,17,76,90,34,7.8
238,16,52,46,76,8.6
239,14,43,86,63,5.2
240,18,95,84,94,5.5
241,18,80,76,84,2.1
242,15,67,41,72,4.5
243,13,93,91,59,6.8
244,13,67,37,46,8.0
245,16,79,50,55,3.0
246,15,59,99,37,2.2
247,18,80,54,76,7.0
248,17,92,41,75,1.0
249,15,81,44,97,2.6
250,16,67,88,62,1.3
251,16,59,55,30,2.5
252,15,80,55,48,2.6
253,16,34,76,60,4.5
254,15,58,61,43,4.6
255,14,33,39,82,8.9
256,15,39,45,77,5.6
257,15,85,100,98,7.5
258,16,46,46,91,1.9
259,16,46,52,95,3.0
260,13,98,55,93,7.3
261,13,63,36,99,1.5
262,14,35,43,92,5.4
263,13,82,36,62,6.4
264,15,95,38,70,6.4
265,16,72,77,77,1.2
266,13,52,88,42,3.9
267,13,84,68,60,6.7
268,14,45,47,97,2.3
269,18,37,88,33,7.3
270,14,33,46,48,7.7
271,15,33,43,99,9.8
272,16,85,60,42,2.9
273,14,54,53,52,8.4
274,13,96,89,30,5.7
275,16,96,74,83,4.4
276,16,56,32,100,2.1
277,13,61,66,44,7.6
278,14,79,72,94,3.1
279,13,90,69,100,4.3
280,18,80,84,44,1.6
281,16,48,68,50,8.2
282,17,50,44,48,7.9
283,17,34,33,89,7.6
284,15,71,54,62,3.7
285,13,90,42,78,2.6
286,13,51,62,64,6.7
287,15,50,45,73,5.5
288,15,99,71,40,2.6
289,15,30,95,95,7.2
290,16,34,84,75,9.9
291,18,41,71,38,7.7
292,13,75,63,32,7.7
293,16,63,59,55,9.6
294,15,78,42,77,2.8
295,13,74,42,95,6.1
296,16,56,47,99,9.8
297,18,55,61,57,2.5
298,16,76,68,55,7.3
299,18,85,75,54,6.3
300,15,92,58,41,6.3
301,18,77,91,34,7.3
302,13,90,91,77,9.4
303,15,55,86,66,8.0
304,13,65,45,73,1.5
305,17,30,85,44,8.7
306,14,37,39,72,3.0
307,18,81,59,77,4.4
308,14,76,54,99,5.2
309,14,85,34,75,5.3
310,18,43,94,72,4.9
311,15,57,78,50,9.4
312,17,31,32,52,7.4
313,13,55,74,76,6.7
314,16,43,43,44,1.4
315,13,88,59,54,9.1
316,16,85,97,65,9.2
317,13,36,47,80,8.0
318,18,32,91,44,1.1
319,17,52,66,97,1.5
320,16,47,54,50,3.0
321,15,67,77,42,2.2
322,13,44,94,48,4.6
323,13,93,82,63,9.3
324,16,57,44,97,5.2
325,15,68,78,81,1.1
326,15,86,97,56,3.5
327,18,46,41,58,1.4
328,18,73,88,57,1.3
329,18,54,66,64,3.5
330,18,46,90,37,3.5
331,18,42,72,45,8.1
332,18,54,99,65,9.8
333,17,97,68,59,4.3
334,15,39,85,47,4.9
335,18,96,92,31,8.6
336,15,47,75,78,3.4
337,15,63,40,33,2.4
338,14,37,91,36,8.7
339,17,69,54,68,1.4
340,18,71,100,42,6.6
341,13,70,81,60,6.1
342,16,35,33,100,4.1
343,13,81,88,92,3.8
344,17,55,49,85,7.9
345,16,93,92,71,1.8
346,17,88,83,90,3.1
347,15,85,86,71,7.6
348,16,88,70,85,5.9
349,15,99,32,65,2.2
350,13,62,35,97,8.9
351,13,82,34,36,4.5
352,16,51,34,83,8.5
353,16,50,83,30,8.1
354,18,99,76,73,6.6
355,17,99,78,74,5.5
356,18,33,38,76,9.8
357,17,91,49,42,2.3
358,18,91,90,51,7.5
359,15,53,64,50,2.7
360,16,84,79,38,4.0
361,13,38,91,55,3.8
362,17,32,46,38,9.5
363,17,60,32,44,9.7
364,13,69,61,39,2.6
365,18,65,42,71,1.2
366,17,53,97,53,7.5
367,15,35,43,78,4.8
368,16,95,40,55,1.8
369,13,33,85,66,7.2
370,16,35,96,97,5.9
371,17,80,58,79,9.8
372,17,91,38,53,3.0
373,13,86,96,48,4.6
374,15,95,54,89,5.9
375,14,37,71,68,8.1
376,13,55,38,47,5.9
377,14,80,69,48,6.5
378,18,74,54,65,3.0
379,14,73,34,84,8.6
380,15,34,40,98,4.9
381,18,99,88,76,2.3
382,14,55,67,78,7.0
383,18,97,34,62,2.9
384,14,48,77,50,1.9
385,15,49,47,51,8.8
386,14,41,99,77,5.1
387,14,76,66,66,7.7
388,14,30,89,44,3.6
389,13,43,77,64,8.1
390,13,93,57,100,2.0
391,13,67,98,61,4.2
392,15,66,69,40,9.8
393,18,40,74,39,8.1
394,17,32,91,86,5.5
395,14,62,87,54,4.1
396,14,35,96,31,8.8
397,15,79,85,93,5.9
398,14,39,69,64,7.8
399,13,34,69,36,7.8
400,17,52,62,47,1.2
401,16,39,35,96,2.1
402,14,73,48,71,6.9
403,13,31,69,68,2.5
404,16,42,88,70,3.3
405,17,69,88,53,9.5
406,16,31,77,89,6.0
407,13,94,70,75,7.8
408,18,92,42,48,6.0
409,18,46,74,97,6.0
410,16,38,82,71,1.8
411,15,44,71,61,4.1
412,16,53,92,68,3.5
413,14,67,56,65,4.5
414,14,64,67,65,8.2
415,18,78,89,32,4.3
416,15,98,36,37,5.1
417,13,91,34,99,4.6
418,14,89,74,70,1.8
419,18,79,87,97,5.0
420,17,38,60,42,2.8
421,18,63,52,78,2.7
422,14,64,71,89,1.8
423,14,30,39,31,4.2
424,18,69,61,89,7.8
425,13,93,82,34,3.5
426,16,51,59,73,3.8
427,14,89,68,56,6.8
428,18,93,60,61,2.8
429,18,40,31,50,9.1
430,15,43,41,37,5.7
431,16,89,68,79,5.0
432,17,59,95,96,6.0
433,13,64,42,73,2.5
434,17,66,75,87,6.5
435,16,34,56,32,4.3
436,16,55,46,99,9.1
437,16,91,89,31,2.5
438,17,33,93,73,5.6
439,16,71,64,31,6.4
440,18,47,99,64,1.3
441,17,69,59,59,4.3
442,16,68,100,37,7.6
443,18,43,92,51,8.4
444,15,61,57,73,3.8
445,16,80,89,87,8.2
446,17,67,66,65,9.7
447,14,52,51,98,8.7
448,16,92,97,60,2.1
449,14,44,49,76,7.7
450,18,54,97,84,3.9
451,15,46,93,91,9.9
452,13,95,46,59,5.4
453,15,82,41,84,2.1
454,16,80,51,45,7.5
455,14,68,46,41,3.9
456,14,80,39,46,10.0
457,17,99,94,45,9.8
458,14,35,51,41,6.9
459,17,96,79,37,2.2
460,18,36,43,32,7.2
461,13,80,93,45,1.8
462,16,71,76,59,1.3
463,17,93,58,52,8.4
464,13,44,65,34,2.9
465,14,58,81,94,4.4
466,14,62,36,59,9.8
467,13,56,58,50,4.0
468,14,65,40,99,3.7
469,18,58,62,51,9.3
470,18,67,35,61,2.0
471,13,86,61,62,7.8
472,17,56,80,45,9.9
473,17,84,87,67,9.1
474,13,62,55,43,6.9
475,17,97,75,65,3.8
476,17,95,58,52,3.3
477,18,39,33,95,8.4
478,17,34,42,31,8.9
479,15,67,68,94,5.7
480,16,42,44,96,3.2
481,14,60,58,81,2.0
482,15,76,58,91,1.8
483,17,81,61,52,7.5
484,18,85,31,55,4.8
485,13,44,76,97,9.1
486,17,58,51,84,7.7
487,18,37,56,35,2.7
488,16,34,96,64,6.5
489,17,58,85,51,4.9
490,13,76,50,72,6.2
491,18,97,76,44,7.6
492,18,74,88,89,8.3
493,18,31,35,41,8.6
494,16,56,48,78,3.3
495,17,65,86,71,1.3
496,16,65,98,67,7.7
497,14,55,32,74,2.0
498,14,72,30,64,3.8
499,17,56,87,59,1.0
500,16,98,67,59,7.1
