Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Total Score,Average Score,Rank,Result,Grade,GPA,Division
46,13,65,54,61,3.7,180,60.0,324,Pass,B,2.7,First Division
47,14,50,67,40,4.9,157,52.33,424,Pass,C+,2.3,Second Division
48,16,65,31,74,2.5,170,56.67,373,Pass,C+,2.5,Second Division
49,13,39,36,62,1.7,137,45.67,469,Fail,C,2.0,Third Division
50,16,53,63,70,8.0,186,62.0,291,Pass,B,2.8,First Division
51,18,93,46,37,3.4,176,58.67,335,Pass,C+,2.6,Second Division
52,14,78,72,40,2.6,190,63.33,271,Pass,B,2.8,First Division
53,14,65,88,80,7.2,233,77.67,67,Pass,B+,3.5,First Division
54,13,53,80,70,6.6,203,67.67,190,Pass,B,3.0,First Division
55,14,52,83,46,6.7,181,60.33,316,Pass,B,2.7,First Division
56,17,91,53,75,3.1,219,73.0,107,Pass,B+,3.2,First Division
57,14,66,54,61,3.1,181,60.33,317,Pass,B,2.7,First Division
58,16,41,100,83,3.0,224,74.67,92,Pass,B+,3.3,First Division
59,16,84,81,49,2.6,214,71.33,134,Pass,B+,3.2,First Division
60,16,42,99,62,6.9,203,67.67,193,Pass,B,3.0,First Division
61,16,52,62,69,8.6,183,61.0,300,Pass,B,2.7,First Division
62,17,59,78,61,7.5,198,66.0,222,Pass,B,2.9,First Division
63,15,46,58,31,8.1,135,45.0,473,Fail,C,2.0,Third Division
64,18,91,92,62,4.6,245,81.67,36,Pass,A,3.6,Distinction
65,13,42,51,59,6.9,152,50.67,439,Pass,C+,2.3,Second Division
66,16,88,55,62,4.2,205,68.33,180,Pass,B,3.0,First Division
67,14,48,57,55,5.7,160,53.33,415,Pass,C+,2.4,Second Division
68,16,78,78,51,5.3,207,69.0,171,Pass,B,3.1,First Division
69,14,41,100,95,2.6,236,78.67,56,Pass,B+,3.5,First Division
70,18,90,78,67,4.5,235,78.33,62,Pass,B+,3.5,First Division
71,18,48,49,75,9.7,172,57.33,360,Pass,C+,2.5,Second Division
72,18,38,92,44,3.2,174,58.0,348,Pass,C+,2.6,Second Division
73,14,100,90,73,2.2,263,87.67,5,Pass,A,3.9,Distinction
74,16,57,78,78,4.8,213,71.0,143,Pass,B+,3.2,First Division
75,18,81,100,90,8.1,271,90.33,4,Pass,A+,4.0,Distinction
76,17,45,30,96,6.2,171,57.0,366,Pass,C+,2.5,Second Division
77,14,98,42,35,7.1,175,58.33,342,Pass,C+,2.6,Second Division
78,14,41,80,38,2.7,159,53.0,420,Pass,C+,2.4,Second Division
79,16,54,85,35,6.6,174,58.0,346,Pass,C+,2.6,Second Division
80,14,81,91,61,3.9,233,77.67,66,Pass,B+,3.5,First Division
81,14,82,61,70,8.5,213,71.0,140,Pass,B+,3.2,First Division
82,18,52,59,37,6.7,148,49.33,447,Fail,C,2.2,Third Division
83,16,45,58,79,2.8,182,60.67,307,Pass,B,2.7,First Division
84,18,86,78,91,1.6,255,85.0,17,Pass,A,3.8,Distinction
85,18,68,74,91,1.4,233,77.67,69,Pass,B+,3.5,First Division
86,16,82,59,36,4.3,177,59.0,333,Pass,C+,2.6,Second Division
87,13,71,45,33,3.4,149,49.67,444,Fail,C,2.2,Third Division
88,18,87,69,35,6.8,191,63.67,266,Pass,B,2.8,First Division
89,17,68,48,87,5.5,203,67.67,189,Pass,B,3.0,First Division
90,17,43,47,51,3.4,141,47.0,462,Fail,C,2.1,Third Division
91,14,34,30,55,2.3,119,39.67,489,Fail,D+,1.8,Fail
92,17,64,76,32,2.1,172,57.33,356,Pass,C+,2.5,Second Division
93,14,47,95,70,8.8,212,70.67,145,Pass,B+,3.1,First Division
94,13,38,67,89,3.2,194,64.67,245,Pass,B,2.9,First Division
95,16,87,80,43,6.9,210,70.0,155,Pass,B+,3.1,First Division
96,16,46,92,41,8.3,179,59.67,327,Pass,C+,2.7,Second Division
97,16,36,33,41,6.5,110,36.67,495,Fail,D+,1.6,Fail
98,17,75,30,42,8.7,147,49.0,452,Fail,C,2.2,Third Division
99,13,42,37,54,4.5,133,44.33,475,Fail,C,2.0,Third Division
100,17,69,58,74,9.6,201,67.0,203,Pass,B,3.0,First Division
101,17,71,84,48,2.2,203,67.67,185,Pass,B,3.0,First Division
102,13,38,32,84,1.9,154,51.33,432,Pass,C+,2.3,Second Division
103,13,79,61,74,6.9,214,71.33,135,Pass,B+,3.2,First Division
104,13,56,39,37,9.5,132,44.0,478,Fail,C,2.0,Third Division
105,13,95,63,82,8.3,240,80.0,45,Pass,A,3.6,Distinction
106,16,34,84,84,1.7,202,67.33,196,Pass,B,3.0,First Division
107,15,58,61,61,3.5,180,60.0,318,Pass,B,2.7,First Division
108,15,66,79,80,9.4,225,75.0,90,Pass,B+,3.3,First Division
109,13,67,36,73,3.3,176,58.67,339,Pass,C+,2.6,Second Division
110,15,37,37,99,8.0,173,57.67,350,Pass,C+,2.6,Second Division
111,15,94,94,47,8.4,235,78.33,63,Pass,B+,3.5,First Division
112,13,46,86,51,5.5,183,61.0,301,Pass,B,2.7,First Division
113,15,100,96,66,4.5,262,87.33,8,Pass,A,3.9,Distinction
114,17,74,88,85,5.1,247,82.33,31,Pass,A,3.7,Distinction
115,14,33,83,88,3.0,204,68.0,184,Pass,B,3.0,First Division
116,14,65,96,32,9.0,193,64.33,248,Pass,B,2.9,First Division
117,13,99,80,57,5.1,236,78.67,57,Pass,B+,3.5,First Division
118,16,60,37,64,8.9,161,53.67,407,Pass,C+,2.4,Second Division
119,13,48,63,90,2.0,201,67.0,200,Pass,B,3.0,First Division
120,16,90,64,83,9.9,237,79.0,55,Pass,B+,3.5,First Division
121,14,83,61,92,5.0,236,78.67,58,Pass,B+,3.5,First Division
122,13,68,75,36,1.4,179,59.67,326,Pass,C+,2.7,Second Division
123,18,48,45,78,1.3,171,57.0,362,Pass,C+,2.5,Second Division
124,17,68,97,60,7.7,225,75.0,89,Pass,B+,3.3,First Division
125,15,96,66,87,6.9,249,83.0,26,Pass,A,3.7,Distinction
126,16,74,83,90,8.2,247,82.33,32,Pass,A,3.7,Distinction
127,18,42,43,53,1.9,138,46.0,467,Fail,C,2.0,Third Division
128,15,87,84,49,1.3,220,73.33,105,Pass,B+,3.3,First Division
129,15,49,77,66,5.6,192,64.0,261,Pass,B,2.8,First Division
130,13,90,36,33,4.5,159,53.0,418,Pass,C+,2.4,Second Division
131,15,68,36,49,5.2,153,51.0,436,Pass,C+,2.3,Second Division
132,17,30,62,89,9.9,181,60.33,314,Pass,B,2.7,First Division
133,18,32,52,53,9.7,137,45.67,470,Fail,C,2.0,Third Division
134,15,91,48,79,9.5,218,72.67,114,Pass,B+,3.2,First Division
135,13,92,48,78,8.1,218,72.67,111,Pass,B+,3.2,First Division
136,17,54,65,80,4.2,199,66.33,217,Pass,B,2.9,First Division
137,14,85,58,65,4.7,208,69.33,165,Pass,B,3.1,First Division
138,18,62,89,95,5.9,246,82.0,35,Pass,A,3.6,Distinction
139,15,67,31,63,8.5,161,53.67,411,Pass,C+,2.4,Second Division
140,13,35,30,65,1.6,130,43.33,481,Fail,C,1.9,Third Division
141,14,87,76,35,4.8,198,66.0,225,Pass,B,2.9,First Division
142,14,73,98,68,1.7,239,79.67,48,Pass,B+,3.5,First Division
143,16,74,49,71,5.6,194,64.67,244,Pass,B,2.9,First Division
144,17,61,40,87,9.1,188,62.67,278,Pass,B,2.8,First Division
145,15,74,31,41,8.0,146,48.67,453,Fail,C,2.2,Third Division
146,13,90,96,32,3.1,218,72.67,117,Pass,B+,3.2,First Division
147,16,76,41,47,9.8,164,54.67,396,Pass,C+,2.4,Second Division
148,17,50,49,69,7.0,168,56.0,378,Pass,C+,2.5,Second Division
149,16,65,34,50,1.1,149,49.67,445,Fail,C,2.2,Third Division
150,18,48,66,44,3.3,158,52.67,423,Pass,C+,2.3,Second Division
151,17,49,67,55,3.3,171,57.0,364,Pass,C+,2.5,Second Division
152,17,86,38,37,1.6,161,53.67,406,Pass,C+,2.4,Second Division
153,15,47,82,71,9.6,200,66.67,208,Pass,B,3.0,First Division
154,17,76,73,73,5.3,222,74.0,101,Pass,B+,3.3,First Division
155,16,78,53,43,9.1,174,58.0,349,Pass,C+,2.6,Second Division
156,17,43,59,31,3.9,133,44.33,476,Fail,C,2.0,Third Division
157,15,44,88,66,2.1,198,66.0,223,Pass,B,2.9,First Division
158,15,60,43,98,5.3,201,67.0,205,Pass,B,3.0,First Division
159,18,30,38,67,2.0,135,45.0,474,Fail,C,2.0,Third Division
160,16,83,69,70,5.4,222,74.0,100,Pass,B+,3.3,First Division
161,14,32,95,91,9.3,218,72.67,116,Pass,B+,3.2,First Division
162,14,45,54,89,5.7,188,62.67,277,Pass,B,2.8,First Division
163,17,86,51,43,6.5,180,60.0,320,Pass,B,2.7,First Division
164,18,41,33,31,2.4,105,35.0,499,Fail,D+,1.6,Fail
165,13,45,55,99,1.4,199,66.33,220,Pass,B,2.9,First Division
166,17,53,87,46,2.0,186,62.0,289,Pass,B,2.8,First Division
167,18,57,58,57,6.4,172,57.33,355,Pass,C+,2.5,Second Division
168,16,37,66,95,1.9,198,66.0,221,Pass,B,2.9,First Division
169,16,65,99,64,4.4,228,76.0,82,Pass,B+,3.4,First Division
170,16,37,47,34,6.0,118,39.33,490,Fail,D+,1.7,Fail
171,16,87,71,94,4.5,252,84.0,21,Pass,A,3.7,Distinction
172,16,89,70,69,2.5,228,76.0,81,Pass,B+,3.4,First Division
173,18,79,67,85,3.5,231,77.0,72,Pass,B+,3.4,First Division
174,18,57,63,65,9.4,185,61.67,294,Pass,B,2.7,First Division
175,15,70,46,74,7.1,190,63.33,269,Pass,B,2.8,First Division
176,14,93,66,52,5.5,211,70.33,148,Pass,B+,3.1,First Division
177,16,56,54,76,1.1,186,62.0,288,Pass,B,2.8,First Division
178,13,92,56,60,9.9,208,69.33,166,Pass,B,3.1,First Division
179,18,46,86,40,7.0,172,57.33,357,Pass,C+,2.5,Second Division
180,13,62,60,39,3.9,161,53.67,410,Pass,C+,2.4,Second Division
181,13,58,35,96,8.9,189,63.0,274,Pass,B,2.8,First Division
182,13,42,69,43,3.3,154,51.33,433,Pass,C+,2.3,Second Division
183,15,75,41,39,5.9,155,51.67,430,Pass,C+,2.3,Second Division
184,18,64,82,30,6.7,176,58.67,334,Pass,C+,2.6,Second Division
185,13,35,100,34,3.0,169,56.33,375,Pass,C+,2.5,Second Division
186,16,98,39,49,9.8,186,62.0,286,Pass,B,2.8,First Division
187,17,76,74,37,7.7,187,62.33,281,Pass,B,2.8,First Division
188,13,54,46,72,6.0,172,57.33,359,Pass,C+,2.5,Second Division
189,15,95,55,30,2.6,180,60.0,323,Pass,B,2.7,First Division
190,18,39,91,86,1.5,216,72.0,127,Pass,B+,3.2,First Division
191,15,85,75,93,3.9,253,84.33,20,Pass,A,3.7,Distinction
192,13,59,93,57,7.8,209,69.67,162,Pass,B,3.1,First Division
193,18,34,31,66,3.4,131,43.67,479,Fail,C,1.9,Third Division
194,17,62,83,76,5.9,221,73.67,103,Pass,B+,3.3,First Division
195,13,94,94,66,7.6,254,84.67,18,Pass,A,3.8,Distinction
196,15,47,80,78,2.0,205,68.33,177,Pass,B,3.0,First Division
197,14,78,82,73,7.2,233,77.67,70,Pass,B+,3.5,First Division
198,16,40,65,85,1.8,190,63.33,268,Pass,B,2.8,First Division
199,15,55,55,57,9.7,167,55.67,386,Pass,C+,2.5,Second Division
200,18,92,58,35,5.4,185,61.67,293,Pass,B,2.7,First Division
201,13,88,50,90,2.4,228,76.0,79,Pass,B+,3.4,First Division
202,16,56,40,49,4.1,145,48.33,455,Fail,C,2.1,Third Division
203,13,78,69,31,4.7,178,59.33,329,Pass,C+,2.6,Second Division
204,18,62,40,66,7.8,168,56.0,383,Pass,C+,2.5,Second Division
205,13,30,65,49,7.7,144,48.0,458,Fail,C,2.1,Third Division
206,14,50,88,55,6.5,193,64.33,255,Pass,B,2.9,First Division
207,16,84,68,58,2.0,210,70.0,156,Pass,B+,3.1,First Division
208,16,35,83,30,2.4,148,49.33,446,Fail,C,2.2,Third Division
209,18,98,84,64,1.8,246,82.0,33,Pass,A,3.6,Distinction
210,14,34,53,99,6.2,186,62.0,287,Pass,B,2.8,First Division
211,15,32,51,88,8.9,171,57.0,367,Pass,C+,2.5,Second Division
212,13,82,98,98,4.9,278,92.67,2,Pass,A+,4.1,Distinction
213,17,52,85,62,2.4,199,66.33,219,Pass,B,2.9,First Division
214,13,82,62,80,6.0,224,74.67,91,Pass,B+,3.3,First Division
215,13,66,65,41,8.3,172,57.33,354,Pass,C+,2.5,Second Division
216,15,46,49,49,7.7,144,48.0,457,Fail,C,2.1,Third Division
217,13,30,91,82,8.9,203,67.67,192,Pass,B,3.0,First Division
218,14,80,55,72,3.5,207,69.0,175,Pass,B,3.1,First Division
219,14,74,95,79,2.7,248,82.67,29,Pass,A,3.7,Distinction
220,16,33,69,58,8.9,160,53.33,414,Pass,C+,2.4,Second Division
221,18,91,46,86,6.9,223,74.33,98,Pass,B+,3.3,First Division
222,17,94,30,68,3.8,192,64.0,258,Pass,B,2.8,First Division
223,13,61,90,85,7.7,236,78.67,60,Pass,B+,3.5,First Division
224,13,63,72,72,8.3,207,69.0,172,Pass,B,3.1,First Division
225,15,68,71,79,6.5,218,72.67,110,Pass,B+,3.2,First Division
226,18,55,54,52,7.2,161,53.67,412,Pass,C+,2.4,Second Division
227,14,63,68,73,4.4,204,68.0,182,Pass,B,3.0,First Division
228,17,83,64,67,5.8,214,71.33,137,Pass,B+,3.2,First Division
229,16,32,32,52,5.7,116,38.67,492,Fail,D+,1.7,Fail
230,14,79,73,74,8.6,226,75.33,87,Pass,B+,3.3,First Division
231,18,41,80,81,8.6,202,67.33,199,Pass,B,3.0,First Division
232,16,94,41,79,8.5,214,71.33,132,Pass,B+,3.2,First Division
233,15,83,48,37,1.1,168,56.0,379,Pass,C+,2.5,Second Division
234,15,34,73,30,7.7,137,45.67,468,Fail,C,2.0,Third Division
235,13,86,88,37,7.8,211,70.33,152,Pass,B+,3.1,First Division
236,18,46,78,58,7.1,182,60.67,310,Pass,B,2.7,First Division
237,17,76,90,34,7.8,200,66.67,211,Pass,B,3.0,First Division
238,16,52,46,76,8.6,174,58.0,347,Pass,C+,2.6,Second Division
239,14,43,86,63,5.2,192,64.0,260,Pass,B,2.8,First Division
240,18,95,84,94,5.5,273,91.0,3,Pass,A+,4.0,Distinction
241,18,80,76,84,2.1,240,80.0,44,Pass,A,3.6,Distinction
242,15,67,41,72,4.5,180,60.0,321,Pass,B,2.7,First Division
243,13,93,91,59,6.8,243,81.0,40,Pass,A,3.6,Distinction
244,13,67,37,46,8.0,150,50.0,442,Pass,C+,2.2,Second Division
245,16,79,50,55,3.0,184,61.33,299,Pass,B,2.7,First Division
246,15,59,99,37,2.2,195,65.0,239,Pass,B,2.9,First Division
247,18,80,54,76,7.0,210,70.0,159,Pass,B+,3.1,First Division
248,17,92,41,75,1.0,208,69.33,167,Pass,B,3.1,First Division
249,15,81,44,97,2.6,222,74.0,102,Pass,B+,3.3,First Division
250,16,67,88,62,1.3,217,72.33,124,Pass,B+,3.2,First Division
251,16,59,55,30,2.5,144,48.0,456,Fail,C,2.1,Third Division
252,15,80,55,48,2.6,183,61.0,304,Pass,B,2.7,First Division
253,16,34,76,60,4.5,170,56.67,374,Pass,C+,2.5,Second Division
254,15,58,61,43,4.6,162,54.0,403,Pass,C+,2.4,Second Division
255,14,33,39,82,8.9,154,51.33,434,Pass,C+,2.3,Second Division
256,15,39,45,77,5.6,161,53.67,409,Pass,C+,2.4,Second Division
257,15,85,100,98,7.5,283,94.33,1,Pass,A+,4.2,Distinction
258,16,46,46,91,1.9,183,61.0,303,Pass,B,2.7,First Division
259,16,46,52,95,3.0,193,64.33,250,Pass,B,2.9,First Division
260,13,98,55,93,7.3,246,82.0,34,Pass,A,3.6,Distinction
261,13,63,36,99,1.5,198,66.0,227,Pass,B,2.9,First Division
262,14,35,43,92,5.4,170,56.67,370,Pass,C+,2.5,Second Division
263,13,82,36,62,6.4,180,60.0,319,Pass,B,2.7,First Division
264,15,95,38,70,6.4,203,67.67,187,Pass,B,3.0,First Division
265,16,72,77,77,1.2,226,75.33,86,Pass,B+,3.3,First Division
266,13,52,88,42,3.9,182,60.67,306,Pass,B,2.7,First Division
267,13,84,68,60,6.7,212,70.67,144,Pass,B+,3.1,First Division
268,14,45,47,97,2.3,189,63.0,272,Pass,B,2.8,First Division
269,18,37,88,33,7.3,158,52.67,422,Pass,C+,2.3,Second Division
270,14,33,46,48,7.7,127,42.33,484,Fail,C,1.9,Third Division
271,15,33,43,99,9.8,175,58.33,345,Pass,C+,2.6,Second Division
272,16,85,60,42,2.9,187,62.33,283,Pass,B,2.8,First Division
273,14,54,53,52,8.4,159,53.0,416,Pass,C+,2.4,Second Division
274,13,96,89,30,5.7,215,71.67,129,Pass,B+,3.2,First Division
275,16,96,74,83,4.4,253,84.33,19,Pass,A,3.7,Distinction
276,16,56,32,100,2.1,188,62.67,276,Pass,B,2.8,First Division
277,13,61,66,44,7.6,171,57.0,363,Pass,C+,2.5,Second Division
278,14,79,72,94,3.1,245,81.67,37,Pass,A,3.6,Distinction
279,13,90,69,100,4.3,259,86.33,11,Pass,A,3.8,Distinction
280,18,80,84,44,1.6,208,69.33,168,Pass,B,3.1,First Division
281,16,48,68,50,8.2,166,55.33,392,Pass,C+,2.5,Second Division
282,17,50,44,48,7.9,142,47.33,461,Fail,C,2.1,Third Division
283,17,34,33,89,7.6,156,52.0,427,Pass,C+,2.3,Second Division
284,15,71,54,62,3.7,187,62.33,282,Pass,B,2.8,First Division
285,13,90,42,78,2.6,210,70.0,154,Pass,B+,3.1,First Division
286,13,51,62,64,6.7,177,59.0,331,Pass,C+,2.6,Second Division
287,15,50,45,73,5.5,168,56.0,381,Pass,C+,2.5,Second Division
288,15,99,71,40,2.6,210,70.0,153,Pass,B+,3.1,First Division
289,15,30,95,95,7.2,220,73.33,104,Pass,B+,3.3,First Division
290,16,34,84,75,9.9,193,64.33,254,Pass,B,2.9,First Division
291,18,41,71,38,7.7,150,50.0,441,Pass,C+,2.2,Second Division
292,13,75,63,32,7.7,170,56.67,372,Pass,C+,2.5,Second Division
293,16,63,59,55,9.6,177,59.0,332,Pass,C+,2.6,Second Division
294,15,78,42,77,2.8,197,65.67,230,Pass,B,2.9,First Division
295,13,74,42,95,6.1,211,70.33,149,Pass,B+,3.1,First Division
296,16,56,47,99,9.8,202,67.33,197,Pass,B,3.0,First Division
297,18,55,61,57,2.5,173,57.67,352,Pass,C+,2.6,Second Division
298,16,76,68,55,7.3,199,66.33,215,Pass,B,2.9,First Division
299,18,85,75,54,6.3,214,71.33,136,Pass,B+,3.2,First Division
300,15,92,58,41,6.3,191,63.67,267,Pass,B,2.8,First Division
301,18,77,91,34,7.3,202,67.33,198,Pass,B,3.0,First Division
302,13,90,91,77,9.4,258,86.0,12,Pass,A,3.8,Distinction
303,15,55,86,66,8.0,207,69.0,174,Pass,B,3.1,First Division
304,13,65,45,73,1.5,183,61.0,302,Pass,B,2.7,First Division
305,17,30,85,44,8.7,159,53.0,417,Pass,C+,2.4,Second Division
306,14,37,39,72,3.0,148,49.33,448,Fail,C,2.2,Third Division
307,18,81,59,77,4.4,217,72.33,118,Pass,B+,3.2,First Division
308,14,76,54,99,5.2,229,76.33,77,Pass,B+,3.4,First Division
309,14,85,34,75,5.3,194,64.67,240,Pass,B,2.9,First Division
310,18,43,94,72,4.9,209,69.67,164,Pass,B,3.1,First Division
311,15,57,78,50,9.4,185,61.67,292,Pass,B,2.7,First Division
312,17,31,32,52,7.4,115,38.33,493,Fail,D+,1.7,Fail
313,13,55,74,76,6.7,205,68.33,179,Pass,B,3.0,First Division
314,16,43,43,44,1.4,130,43.33,482,Fail,C,1.9,Third Division
315,13,88,59,54,9.1,201,67.0,201,Pass,B,3.0,First Division
316,16,85,97,65,9.2,247,82.33,30,Pass,A,3.7,Distinction
317,13,36,47,80,8.0,163,54.33,401,Pass,C+,2.4,Second Division
318,18,32,91,44,1.1,167,55.67,388,Pass,C+,2.5,Second Division
319,17,52,66,97,1.5,215,71.67,130,Pass,B+,3.2,First Division
320,16,47,54,50,3.0,151,50.33,440,Pass,C+,2.2,Second Division
321,15,67,77,42,2.2,186,62.0,290,Pass,B,2.8,First Division
322,13,44,94,48,4.6,186,62.0,284,Pass,B,2.8,First Division
323,13,93,82,63,9.3,238,79.33,49,Pass,B+,3.5,First Division
324,16,57,44,97,5.2,198,66.0,226,Pass,B,2.9,First Division
325,15,68,78,81,1.1,227,75.67,83,Pass,B+,3.4,First Division
326,15,86,97,56,3.5,239,79.67,46,Pass,B+,3.5,First Division
327,18,46,41,58,1.4,145,48.33,454,Fail,C,2.1,Third Division
328,18,73,88,57,1.3,218,72.67,112,Pass,B+,3.2,First Division
329,18,54,66,64,3.5,184,61.33,295,Pass,B,2.7,First Division
330,18,46,90,37,3.5,173,57.67,351,Pass,C+,2.6,Second Division
331,18,42,72,45,8.1,159,53.0,419,Pass,C+,2.4,Second Division
332,18,54,99,65,9.8,218,72.67,113,Pass,B+,3.2,First Division
333,17,97,68,59,4.3,224,74.67,96,Pass,B+,3.3,First Division
334,15,39,85,47,4.9,171,57.0,361,Pass,C+,2.5,Second Division
335,18,96,92,31,8.6,219,73.0,106,Pass,B+,3.2,First Division
336,15,47,75,78,3.4,200,66.67,207,Pass,B,3.0,First Division
337,15,63,40,33,2.4,136,45.33,472,Fail,C,2.0,Third Division
338,14,37,91,36,8.7,164,54.67,398,Pass,C+,2.4,Second Division
339,17,69,54,68,1.4,191,63.67,263,Pass,B,2.8,First Division
340,18,71,100,42,6.6,213,71.0,141,Pass,B+,3.2,First Division
341,13,70,81,60,6.1,211,70.33,147,Pass,B+,3.1,First Division
342,16,35,33,100,4.1,168,56.0,384,Pass,C+,2.5,Second Division
343,13,81,88,92,3.8,261,87.0,10,Pass,A,3.9,Distinction
344,17,55,49,85,7.9,189,63.0,273,Pass,B,2.8,First Division
345,16,93,92,71,1.8,256,85.33,14,Pass,A,3.8,Distinction
346,17,88,83,90,3.1,261,87.0,9,Pass,A,3.9,Distinction
347,15,85,86,71,7.6,242,80.67,43,Pass,A,3.6,Distinction
348,16,88,70,85,5.9,243,81.0,41,Pass,A,3.6,Distinction
349,15,99,32,65,2.2,196,65.33,236,Pass,B,2.9,First Division
350,13,62,35,97,8.9,194,64.67,246,Pass,B,2.9,First Division
351,13,82,34,36,4.5,152,50.67,437,Pass,C+,2.3,Second Division
352,16,51,34,83,8.5,168,56.0,382,Pass,C+,2.5,Second Division
353,16,50,83,30,8.1,163,54.33,399,Pass,C+,2.4,Second Division
354,18,99,76,73,6.6,248,82.67,28,Pass,A,3.7,Distinction
355,17,99,78,74,5.5,251,83.67,23,Pass,A,3.7,Distinction
356,18,33,38,76,9.8,147,49.0,451,Fail,C,2.2,Third Division
357,17,91,49,42,2.3,182,60.67,311,Pass,B,2.7,First Division
358,18,91,90,51,7.5,232,77.33,71,Pass,B+,3.4,First Division
359,15,53,64,50,2.7,167,55.67,387,Pass,C+,2.5,Second Division
360,16,84,79,38,4.0,201,67.0,204,Pass,B,3.0,First Division
361,13,38,91,55,3.8,184,61.33,297,Pass,B,2.7,First Division
362,17,32,46,38,9.5,116,38.67,491,Fail,D+,1.7,Fail
363,17,60,32,44,9.7,136,45.33,471,Fail,C,2.0,Third Division
364,13,69,61,39,2.6,169,56.33,377,Pass,C+,2.5,Second Division
365,18,65,42,71,1.2,178,59.33,330,Pass,C+,2.6,Second Division
366,17,53,97,53,7.5,203,67.67,188,Pass,B,3.0,First Division
367,15,35,43,78,4.8,156,52.0,426,Pass,C+,2.3,Second Division
368,16,95,40,55,1.8,190,63.33,270,Pass,B,2.8,First Division
369,13,33,85,66,7.2,184,61.33,298,Pass,B,2.7,First Division
370,16,35,96,97,5.9,228,76.0,78,Pass,B+,3.4,First Division
371,17,80,58,79,9.8,217,72.33,119,Pass,B+,3.2,First Division
372,17,91,38,53,3.0,182,60.67,312,Pass,B,2.7,First Division
373,13,86,96,48,4.6,230,76.67,75,Pass,B+,3.4,First Division
374,15,95,54,89,5.9,238,79.33,50,Pass,B+,3.5,First Division
375,14,37,71,68,8.1,176,58.67,336,Pass,C+,2.6,Second Division
